model_id,model,condition,label,AA,coverage,HR,abstention,unparseable
llama3-8b,Llama 3 8B,direct_nq,Direct,0.6133333333333333,1.0,0.38666666666666666,0.0,0.0
llama3-8b,Llama 3 8B,cot_nq,CoT,0.6,1.0,0.4,0.0,0.0
llama3-8b,Llama 3 8B,grounded_nq_mean090,Grounded-CoSQ,0.6653061224489796,0.8166666666666667,0.2733333333333333,0.18333333333333332,0.0
llama3-8b,Llama 3 8B,critical_nq_mean090,Critical-CoSQ,0.6323529411764706,0.9066666666666666,0.3333333333333333,0.09333333333333334,0.0
llama3-8b,Llama 3 8B,adaptive_nq_mean090,Adaptive-CoSQ,0.6640926640926641,0.8633333333333333,0.29,0.13666666666666666,0.0
llama4_scout-17b,Llama 4 Scout 17B,direct_nq,Direct,0.59,1.0,0.41,0.0,0.0
llama4_scout-17b,Llama 4 Scout 17B,cot_nq,CoT,0.5833333333333334,1.0,0.4166666666666667,0.0,0.0
llama4_scout-17b,Llama 4 Scout 17B,grounded_nq_mean090,Grounded-CoSQ,0.688,0.8333333333333334,0.26,0.16666666666666666,0.0
llama4_scout-17b,Llama 4 Scout 17B,critical_nq_mean090,Critical-CoSQ,0.6380597014925373,0.8933333333333333,0.3233333333333333,0.10666666666666667,0.0
llama4_scout-17b,Llama 4 Scout 17B,adaptive_nq_mean090,Adaptive-CoSQ,0.6627906976744186,0.86,0.29,0.14,0.0
gemma4_31b_it,Gemma 4 31B,direct_nq,Direct,0.6066666666666667,1.0,0.3933333333333333,0.0,0.0
gemma4_31b_it,Gemma 4 31B,cot_nq,CoT,0.59,1.0,0.41,0.0,0.0
gemma4_31b_it,Gemma 4 31B,grounded_nq_mean090,Grounded-CoSQ,0.6733067729083665,0.8366666666666667,0.2733333333333333,0.16333333333333333,0.0
gemma4_31b_it,Gemma 4 31B,critical_nq_mean090,Critical-CoSQ,0.6264150943396226,0.8833333333333333,0.33,0.11666666666666667,0.0
gemma4_31b_it,Gemma 4 31B,adaptive_nq_mean090,Adaptive-CoSQ,0.6360153256704981,0.87,0.31666666666666665,0.13,0.0
gpt-oss-20b,GPT-OSS 20B,direct_nq,Direct,0.5866666666666667,1.0,0.41333333333333333,0.0,0.0
gpt-oss-20b,GPT-OSS 20B,cot_nq,CoT,0.59,1.0,0.41,0.0,0.0
gpt-oss-20b,GPT-OSS 20B,grounded_nq_mean090,Grounded-CoSQ,0.6721311475409836,0.8133333333333334,0.26666666666666666,0.18666666666666668,0.0
gpt-oss-20b,GPT-OSS 20B,critical_nq_mean090,Critical-CoSQ,0.6290909090909091,0.9166666666666666,0.34,0.08333333333333333,0.0
gpt-oss-20b,GPT-OSS 20B,adaptive_nq_mean090,Adaptive-CoSQ,0.6538461538461539,0.8666666666666667,0.3,0.13333333333333333,0.0
gpt5_5,GPT-5.5,direct_nq,Direct,0.59,1.0,0.41,0.0,0.0
gpt5_5,GPT-5.5,cot_nq,CoT,0.5766666666666667,1.0,0.42333333333333334,0.0,0.0
gpt5_5,GPT-5.5,grounded_nq_mean090,Grounded-CoSQ,0.6509803921568628,0.85,0.2966666666666667,0.15,0.0
gpt5_5,GPT-5.5,critical_nq_mean090,Critical-CoSQ,0.6615969581749049,0.8766666666666667,0.2966666666666667,0.12333333333333334,0.0
gpt5_5,GPT-5.5,adaptive_nq_mean090,Adaptive-CoSQ,0.6526717557251909,0.8733333333333333,0.30333333333333334,0.12666666666666668,0.0
