condition,n_models,AA_mean,AA_sd,coverage_mean,coverage_sd,HR_mean,HR_sd,abstention_rate_mean,abstention_rate_sd,unparseable_mean,unparseable_sd
adaptive_mc_mean050,11,0.8851007430247049,0.03595190082331083,0.9110938021586736,0.01452657988423405,0.10481807054634472,0.03330635795166192,0.08846111049293424,0.014275010162376506,0.0004450873483921219,0.0008252140299427686
adaptive_mc_mean060,11,0.8851007430247049,0.03595190082331083,0.9110938021586736,0.01452657988423405,0.10481807054634472,0.03330635795166192,0.08846111049293424,0.014275010162376506,0.0004450873483921219,0.0008252140299427686
adaptive_mc_mean070,11,0.8851986749591206,0.03572791939643182,0.9109825303215756,0.014441952832988391,0.10470679870924669,0.03304938404866367,0.08857238233003227,0.01419272173138102,0.0004450873483921219,0.0008252140299427686
adaptive_mc_mean080,11,0.8864396667830605,0.03587060847904256,0.9085345499054189,0.010907818767648167,0.1032602648269723,0.03293544878578244,0.09102036274618895,0.010660283355398042,0.0004450873483921219,0.0008252140299427686
adaptive_mc_mean090,11,0.8961599616483604,0.02577850896861786,0.8654723489484811,0.04688203518272164,0.08890619784132636,0.017076946516242537,0.13408256370312674,0.04659003774209414,0.0004450873483921219,0.0008252140299427686
cot_mc,11,0.8686992322243241,0.037682565367302634,1.0,0.0,0.13130076777567598,0.03768256536730262,0.0,0.0,0.0,0.0
critical_mc_mean050,11,0.8874760158809746,0.026859914002424712,0.9448091687993769,0.017758023049874606,0.10670969177701123,0.027781170733577356,0.054523200178034935,0.018476687712489906,0.0006676310225881829,0.0010039161961624533
critical_mc_mean060,11,0.8878821823589501,0.02666359378746096,0.9443640814509848,0.017330280529101454,0.10626460442861911,0.027553746937224587,0.05496828752642706,0.01807576659685176,0.0006676310225881829,0.0010039161961624533
critical_mc_mean070,11,0.8879800910253839,0.026637907020438743,0.9433626349171025,0.016340071321131255,0.10604206075442306,0.027419963635502836,0.055969734060309334,0.017154133546059387,0.0006676310225881829,0.0010039161961624533
critical_mc_mean080,11,0.8898221923018262,0.025742435293940207,0.9362412373428285,0.019951074524113054,0.10348280850116835,0.02640169086671239,0.06309113163458328,0.02076721239341415,0.0006676310225881829,0.0010039161961624533
critical_mc_mean090,11,0.8959785653730193,0.02081385179389087,0.8858350951374206,0.05797138838805405,0.09168799376877712,0.016075372640158448,0.1134972738399911,0.05776946165560874,0.0006676310225881829,0.0010039161961624533
direct_mc,11,0.872371202848559,0.03267430757230066,1.0,0.0,0.12762879715144096,0.03267430757230066,0.0,0.0,0.0,0.0
grounded_mc_mean050,11,0.8849181089918393,0.03639401159098216,0.9451429843106709,0.0197652111304329,0.10938021586736398,0.03731172179313733,0.05418938466674084,0.02047462275535194,0.0006676310225881829,0.0010039161961624533
grounded_mc_mean060,11,0.8858671090950697,0.03709495329342833,0.9438077222654946,0.02080390592534139,0.10837876933348169,0.038094868581706263,0.05552464671191722,0.021524644593954596,0.0006676310225881829,0.0010039161961624533
grounded_mc_mean070,11,0.8861682340973173,0.03703282861724485,0.9433626349171025,0.02085882519430025,0.10804495382218761,0.038038696996499824,0.055969734060309334,0.02159980974696952,0.0006676310225881829,0.0010039161961624533
grounded_mc_mean080,11,0.8883630498708317,0.03470939601457333,0.9371314120396128,0.018709624033315102,0.10515188605763881,0.03531568978472941,0.06220095693779904,0.019597747373127174,0.0006676310225881829,0.0010039161961624533
grounded_mc_mean090,11,0.8973691612216931,0.02093096769945435,0.8763769889840881,0.058097646444581735,0.08912874151552243,0.013406109252164868,0.12306665183042172,0.05772347070348574,0.0005563591854901524,0.0008415564883137436
